source	predicate	relation	attributeName	attributeValue	biolinkPredicate	inversePredicate	qualifiedPredicate	qualifier_1	qualifier_2	qualifier_3	qualifier_4
DGIdb	biolink:decreases_activity_of		Specific Action of the Ligand	Full agonist	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:full_agonism	
DGIdb	biolink:decreases_activity_of		Specific Action of the Ligand	Inhibition	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:inhibition	
DGIdb	biolink:directly_interacts_with		Specific Action of the Ligand	Inhibition	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:inhibition	
DGIdb	biolink:decreases_activity_of		Specific Action of the Ligand	Inverse agonist	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:inverse_agonism	
DGIdb	biolink:increases_activity_of		Specific Action of the Ligand	Irreversible agonist	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:irreversible_agonism	
DGIdb	biolink:decreases_activity_of		Specific Action of the Ligand	Irreversible inhibition	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:irreversible_inhibition	
DGIdb	biolink:affects_activity_of		Specific Action of the Ligand	Mixed	biolink:affects	biolink:affected_by		object_aspect_qualifier:activity			
DGIdb	biolink:decreases_activity_of		Specific Action of the Ligand	Negative	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased		
DGIdb	biolink:increases_activity_of		Specific Action of the Ligand	Negative	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased		
DGIdb	biolink:affects		Specific Action of the Ligand	Neutral	biolink:directly_physically_interacts_with	biolink:directly_physically_interacts_with					
DGIdb	biolink:decreases_activity_of		Specific Action of the Ligand	Neutral	biolink:directly_physically_interacts_with	biolink:directly_physically_interacts_with					
DGIdb	biolink:affects		Specific Action of the Ligand	None	biolink:directly_physically_interacts_with	biolink:directly_physically_interacts_with					
DGIdb	biolink:decreases_activity_of		Specific Action of the Ligand	None	biolink:directly_physically_interacts_with	biolink:directly_physically_interacts_with					
DGIdb	biolink:increases_activity_of		Specific Action of the Ligand	Partial agonist	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:partial_agonism	
DGIdb	biolink:decreases_activity_of		Specific Action of the Ligand	Pore blocker	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:molecular_channel_blockage	
DGIdb	biolink:affects		Specific Action of the Ligand	Pore blocker	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:molecular_channel_blockage	
DGIdb	biolink:increases_activity_of		Specific Action of the Ligand	Positive	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased		
DGIdb	biolink:decreases_activity_of		Specific Action of the Ligand	Positive	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased		
DGIdb	biolink:affects		Specific Action of the Ligand	Positive	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased		
DGIdb	biolink:decreases_activity_of		Specific Action of the Ligand	Potentiation	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:potentiation	
DGIdb	biolink:increases_activity_of		Specific Action of the Ligand	Potentiation	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:potentiation	
DGIdb	biolink:decreases_activity_of		Specific Action of the Ligand	Slows inactivation	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:molecular_channel_inactivation	
DGIdb	biolink:activity_increased_by		Specific Action of the Ligand	Activation	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:increased	causal_mechanism_qualifier:activation	
DGIdb	biolink:activity_increased_by		Specific Action of the Ligand	Agonist	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:increased	causal_mechanism_qualifier:agonism	
DGIdb	biolink:activity_decreased_by		Specific Action of the Ligand	Antagonist	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:decreased	causal_mechanism_qualifier:antagonism	
DGIdb	biolink:activity_increased_by		Specific Action of the Ligand	Antagonist	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:decreased	causal_mechanism_qualifier:antagonism	
DGIdb	biolink:affected_by		Specific Action of the Ligand	Antagonist	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:decreased	causal_mechanism_qualifier:antagonism	
DGIdb	biolink:activity_increased_by		Specific Action of the Ligand	Biased agonist	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:increased	causal_mechanism_qualifier:biased_agonism	
DGIdb	biolink:activity_affected_by		Specific Action of the Ligand	Competitive	biolink:directly_physically_interacts_with	biolink:directly_physically_interacts_with		causal_mechanism_qualifier:competition			
DGIdb	biolink:activity_affected_by		Specific Action of the Ligand	Feedback inhibition	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:decreased	causal_mechanism_qualifier:feedback_inhibition	
DGIdb	biolink:activity_increased_by		Specific Action of the Ligand	Full agonist	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:increased	causal_mechanism_qualifier:full_agonism	
DGIdb	biolink:activity_decreased_by		Specific Action of the Ligand	Full agonist	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:increased	causal_mechanism_qualifier:full_agonism	
DGIdb	biolink:activity_decreased_by		Specific Action of the Ligand	Inhibition	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:decreased	causal_mechanism_qualifier:inhibition	
DGIdb	biolink:activity_decreased_by		Specific Action of the Ligand	Inverse agonist	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:decreased	causal_mechanism_qualifier:inverse_agonism	
DGIdb	biolink:activity_increased_by		Specific Action of the Ligand	Irreversible agonist	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:increased	causal_mechanism_qualifier:irreversible_agonism	
DGIdb	biolink:activity_decreased_by		Specific Action of the Ligand	Irreversible inhibition	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:decreased	causal_mechanism_qualifier:irreversible_inhibition	
DGIdb	biolink:activity_affected_by		Specific Action of the Ligand	Mixed	biolink:affected_by	biolink:affects		subject_aspect_qualifier:activity			
DGIdb	biolink:activity_decreased_by		Specific Action of the Ligand	Negative	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:decreased		
DGIdb	biolink:activity_increased_by		Specific Action of the Ligand	Negative	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:decreased		
DGIdb	biolink:affected_by		Specific Action of the Ligand	Neutral	biolink:directly_physically_interacts_with	biolink:directly_physically_interacts_with					
DGIdb	biolink:activity_decreased_by		Specific Action of the Ligand	Neutral	biolink:directly_physically_interacts_with	biolink:directly_physically_interacts_with					
DGIdb	biolink:affected_by		Specific Action of the Ligand	None	biolink:directly_physically_interacts_with	biolink:directly_physically_interacts_with					
DGIdb	biolink:activity_decreased_by		Specific Action of the Ligand	None	biolink:directly_physically_interacts_with	biolink:directly_physically_interacts_with					
DGIdb	biolink:activity_increased_by		Specific Action of the Ligand	Partial agonist	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:increased	causal_mechanism_qualifier:partial_agonism	
DGIdb	biolink:activity_decreased_by		Specific Action of the Ligand	Pore blocker	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:decreased	causal_mechanism_qualifier:molecular_channel_blockage	
DGIdb	biolink:affected_by		Specific Action of the Ligand	Pore blocker	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:decreased	causal_mechanism_qualifier:molecular_channel_blockage	
DGIdb	biolink:activity_increased_by		Specific Action of the Ligand	Positive	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:increased		
DGIdb	biolink:activity_decreased_by		Specific Action of the Ligand	Positive	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:increased		
DGIdb	biolink:affected_by		Specific Action of the Ligand	Positive	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:increased		
DGIdb	biolink:activity_decreased_by		Specific Action of the Ligand	Potentiation	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:increased	causal_mechanism_qualifier:potentiation	
DGIdb	biolink:activity_increased_by		Specific Action of the Ligand	Potentiation	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:increased	causal_mechanism_qualifier:potentiation	
DGIdb	biolink:activity_decreased_by		Specific Action of the Ligand	Slows inactivation	biolink:affected_by	biolink:affects	biolink:caused_by	subject_aspect_qualifier:activity	subject_direction_qualifier:decreased	causal_mechanism_qualifier:molecular_channel_inactivation	
DGIdb	biolink:affects				biolink:affects	biolink:affected_by					
DGIdb	biolink:affects_activity_of				biolink:affects	biolink:affected_by		object_aspect_qualifier:activity			
DGIdb	biolink:decreases_activity_of				biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased		
DGIdb	biolink:directly_interacts_with				biolink:directly_physically_interacts_with	biolink:directly_physically_interacts_with					
DGIdb	biolink:increases_activity_of				biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased		
DGIdb	affects		Specific Action of the Ligand	Inhibition	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:inhibition	
DGIdb	affects		Specific Action of the Ligand	Potentiation	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:potentiation	
DGIdb	affects		Specific Action of the Ligand	Agonist	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:agonism	
DGIdb	affects		Specific Action of the Ligand	Antagonist	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:antagonism	
DGIdb	affects		Specific Action of the Ligand	Binding	biolink:binds	biolink:binds					
DGIdb	affects		Specific Action of the Ligand	Full agonist	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:full_agonism	
DGIdb	affects		Specific Action of the Ligand	Negative	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased		
DGIdb	affects		Specific Action of the Ligand	Inverse agonist	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:inverse_agonism	
DGIdb	affects		Specific Action of the Ligand	Partial agonist	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:partial_agonism	
DGIdb	affects		Specific Action of the Ligand	Activation	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:activation	
DGIdb	affects		Specific Action of the Ligand	Mixed	biolink:affects	biolink:affected_by		object_aspect_qualifier:activity			
DGIdb	affects		Specific Action of the Ligand	Irreversible inhibition	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:irreversible_inhibition	
DGIdb	affects		Specific Action of the Ligand	None	biolink:directly_physically_interacts_with	biolink:directly_physically_interacts_with					
DGIdb	affects		Specific Action of the Ligand	Competitive	biolink:directly_physically_interacts_with	biolink:directly_physically_interacts_with		causal_mechanism_qualifier:competition			
DGIdb	affects		Specific Action of the Ligand	Positive	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased		
DGIdb	affects		Specific Action of the Ligand	Biased agonist	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:biased_agonism	
DGIdb	affects		Specific Action of the Ligand	Pore blocker	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:molecular_channel_blockage	
DGIdb	affects		Specific Action of the Ligand	Irreversible agonist	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:irreversible_agonism	
DGIdb	affects		Specific Action of the Ligand	Feedback inhibition	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:feedback_inhibition	
DGIdb	affects		Specific Action of the Ligand	Neutral	biolink:directly_physically_interacts_with	biolink:directly_physically_interacts_with					
DGIdb	affects		Specific Action of the Ligand	Slows inactivation	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:molecular_channel_inactivation	
DGIdb	affected_by				biolink:affected_by	biolink:affects					
DGIdb	is_affected_by				biolink:affected_by	biolink:affects					
DGIdb	affects				biolink:affects	biolink:affected_by					
DrugBank	affects		actions	inhibitor	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:inhibition	
DrugBank	affects		actions	agonist	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:agonism	
DrugBank	affects		actions	antagonist	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:antagonism	
DrugBank	affects		actions	binder	biolink:binds	biolink:binds		subject_aspect_qualifier:binder			
DrugBank	affects		actions	inhibitor;binder	biolink:affects	biolink:affects	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:inhibition	
DrugBank	affects		actions	cofactor	biolink:directly_physically_interacts_with	biolink:directly_physically_interacts_with		subject_aspect_qualifier:cofactor	object_aspect_qualifier:activity		
DrugBank	affects		actions	activator	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:activation	
DrugBank	affects		actions	substrate	biolink:is_substrate_of	biolink:has_substrate					
DrugBank	affects		actions	product of	biolink:output_of	biolink:has_output					
DrugBank	affects		actions	chaperone	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:stability	object_direction_qualifier:increased		
DrugBank	affects		actions	ligand	biolink:directly_physically_interacts_with	biolink:directly_physically_interacts_with		subject_aspect_qualifier:ligand			
DrugBank	affects		actions	antagonist;substrate	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:substrate	object_direction_qualifier:decreased	causal_mechanism_qualifier:antagonism	
DrugBank	affects		actions	antagonist;inhibitory allosteric modulator	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:inhibitory_allosteric_antagonism	
DrugBank	affects		actions	substrate;product of	biolink:is_substrate_of	biolink:has_substrate					
DrugBank	affects		actions	inducer	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:induction	
DrugBank	affects		actions	negative modulator	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:negative_modulation	
DrugBank	affects		actions	stimulator	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:stability	object_direction_qualifier:increased	causal_mechanism_qualifier:stimulation	
DrugBank	affects		actions	positive allosteric modulator	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:positive_allosteric_modulation	
DrugBank	affects		actions	inverse agonist	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	causal_mechanism_qualifier:inverse_agonism		
DrugBank	affects		actions	other/unknown	biolink:affects	biolink:affected_by		object_aspect_qualifier:activity			
DrugBank	affects		actions	other	biolink:affects	biolink:affected_by		object_aspect_qualifier:activity			
DrugBank	affects		actions	antagonist;multitarget	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:antagonism	
DrugBank	affects		actions	partial agonist	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:partial_agonism	
DrugBank	affects		actions	inhibitory allosteric modulator	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:inhibitory_allosteric_modulation	
DrugBank	affects		actions	potentiator	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:potentiation	
DrugBank	affects		actions	inhibitor;activator	biolink:affects	biolink:affected_by		object_aspect_qualifier:activity	causal_mechanism_qualifier:inhibition	causal_mechanism_qualifier:activation	
DrugBank	affects		actions	inhibitor;stimulator	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	causal_mechanism_qualifier:inhibition	causal_mechanism_qualifier:stimulation	
DrugBank	affects		actions	unknown	biolink:affects	biolink:affected_by					
DrugBank	affects		actions	cleavage	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:cleavage			
DrugBank	affects		actions	blocker	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:molecular_channel_blockage	
DrugBank	affects		actions	inhibitor;inducer	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	causal_mechanism_qualifier:inhibition	causal_mechanism_qualifier:induction	
DrugBank	affects		actions	antagonist;agonist	biolink:affects	biolink:affected_by		object_aspect_qualifier:activity	causal_mechanism_qualifier:antagonism	causal_mechanism_qualifier:agonism	
DrugBank	affects		actions	agonist;activator	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:agonism	causal_mechanism_qualifier:activation
DrugBank	affects		actions	antagonist;inhibitor	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:antagonism	causal_mechanism_qualifier:inhibition
DrugBank	affects		actions	inducer;activator	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:induction	causal_mechanism_qualifier:activation
DrugBank	affects		actions	antagonist;weak inhibitor	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:antagonism	causal_mechanism_qualifier:weak_inhibition
DrugBank	affects		actions	agonist;inducer	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:induction	causal_mechanism_qualifier:agonism
DrugBank	affects		actions	binder;protector	biolink:affects	biolink:affected_by	biolink:causes	subject_aspect_qualifier:binder	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:protection
DrugBank	affects		actions	modulator	biolink:affects	biolink:affected_by		object_aspect_qualifier:activity	object_aspect_qualifier:modulation		
DrugBank	affects		actions	activator;modulator	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:activation	causal_mechanism_qualifier:modulation
DrugBank	affects		actions	agonist;inhibitor;downregulator	biolink:affects	biolink:affected_by		object_aspect_qualifier:activity	causal_mechanism_qualifier:inhibition	causal_mechanism_qualifier:agonism	causal_mechanism_qualifier:down_regulation
DrugBank	affects		actions	substrate;inhibitor	biolink:is_substrate_of	biolink:has_substrate	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:inhibition	
DrugBank	affects		actions	activator;potentiator	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:activation	causal_mechanism_qualifier:potentiation
DrugBank	affects		actions	agonist;potentiator	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:potentiation	causal_mechanism_qualifier:agonism
DrugBank	affects		actions	binder;potentiator	biolink:affects	biolink:affected_by	biolink:causes	subject_aspect_qualifier:binder	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:potentiation
DrugBank	affects		actions	agonist;downregulator	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	causal_mechanism_qualifier:agonism	object_direction_qualifier:decreased	
DrugBank	affects		actions	binding	biolink:binds	biolink:binds					
DrugBank	affects		actions	antagonist;binder	biolink:directly_physically_interacts_with	biolink:directly_physically_interacts_with	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:antagonism	
DrugBank	affects		actions	antagonist;downregulator	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:antagonism	causal_mechanism_qualifier:down_regulation
DrugBank	affects		actions	agonist;inhibitor	biolink:affects	biolink:affected_by		object_aspect_qualifier:activity	causal_mechanism_qualifier:inhibition	causal_mechanism_qualifier:agonism	
DrugBank	affects		actions	antagonist;inducer	biolink:affects	biolink:affected_by		object_aspect_qualifier:activity	causal_mechanism_qualifier:antagonism	causal_mechanism_qualifier:induction	
DrugBank	affects		actions	adduct	biolink:directly_physically_interacts_with	biolink:directly_physically_interacts_with		object_aspect_qualifier:adduct			
DrugBank	affects		actions	partial antagonist	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:partial_agonism	
DrugBank	affects		actions	suppressor	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:suppression	
DrugBank	affects		actions	blocker;inactivator	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:molecular_channel_blockage	causal_mechanism_qualifier:inactivation
DrugBank	affects		actions	antagonist;partial agonist	biolink:affects	biolink:affected_by		object_aspect_qualifier:activity	causal_mechanism_qualifier:partial_agonism	causal_mechanism_qualifier:antagonism	
DrugBank	affects		actions	positive modulator	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:positive_modulation	
DrugBank	affects		actions	allosteric modulator	biolink:affects	biolink:affected_by		object_aspect_qualifier:activity	causal_mechanism_qualifier:allosteric_modulation		
DrugBank	affects		actions	desensitize the target	biolink:affects	biolink:affected_by		object_aspect_qualifier:response	object_direction_qualifier:decreased	causal_mechanism_qualifier: target_desensitization	
DrugBank	affects		actions	downregulator	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:down_regulation	
DrugBank	affects		actions	agonist;partial agonist	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:partial_agonism	causal_mechanism_qualifier:agonism
DrugBank	affects		actions	inducer;acetylation	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:acetylation	object_direction_qualifier:increased	causal_mechanism_qualifier:induction	
DrugBank	affects		actions	inhibitor;downregulator	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:inhibition	causal_mechanism_qualifier:down_regulation
DrugBank	affects		actions	multitarget	biolink:affects	biolink:affected_by					
DrugBank	affects		actions	inhibitor;binder;downregulator	biolink:affects	biolink:affected_by	biolink:causes	subject_aspect_qualifier:binder	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:inhibition
DrugBank	affects		actions	antagonist;potentiator	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:antagonism	causal_mechanism_qualifier:potentiation
DrugBank	affects		actions	antagonist;other/unknown	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:antagonism	
DrugBank	affects		actions	antagonist;partial agonist;ligand	biolink:affects	biolink:affected_by		object_aspect_qualifier:activity	subject_aspect_qualifier:ligand	causal_mechanism_qualifier:antagonism	causal_mechanism_qualifier:partial_agonism
DrugBank	affects		actions	antagonist;ligand	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:antagonism	subject_aspect_qualifier:ligand
DrugBank	affects		actions	agonist;modulator	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:modulator	causal_mechanism_qualifier:agonism
DrugBank	affects		actions	antagonist;agonist;negative modulator	biolink:affects	biolink:affected_by		object_aspect_qualifier:activity	causal_mechanism_qualifier:antagonism	causal_mechanism_qualifier:agonism	causal_mechanism_qualifier:modulation
DrugBank	affects		actions	antagonist;blocker	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:antagonism	causal_mechanism_qualifier:molecular_channel_blockage
DrugBank	affects		actions	binder;activator	biolink:affects	biolink:affected_by	biolink:causes	subject_aspect_qualifier:binder	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:activation
DrugBank	affects		actions	weak inhibitor	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:weak_inhibition	
DrugBank	affects		actions	agonist;stimulator	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:increased	causal_mechanism_qualifier:stimulation	causal_mechanism_qualifier:agonism
DrugBank	affects		actions	antagonist;modulator	biolink:affects	biolink:affected_by	biolink:causes	object_aspect_qualifier:activity	object_direction_qualifier:decreased	causal_mechanism_qualifier:antagonism	causal_mechanism_qualifier:modulation
